Track Number,Latitude,Longitude,Date and Time
Track 02,53.35345009322397,-6.250652959915133,06/02/2013 00:00
Track 02,53.35342343586915,-6.250581405959803,06/02/2013 06:15
Track 02,53.353102827829545,-6.2503984483044555,06/02/2013 06:18
Track 02,53.35275005498003,-6.250261560805391,06/02/2013 06:21
Track 02,53.35251196792038,-6.250141129284361,06/02/2013 06:24
Track 02,53.352025712290406,-6.251424401681121,06/02/2013 06:26
Track 02,53.351924024289566,-6.251561268306362,06/02/2013 06:29
Track 02,53.35170099257506,-6.25246620459264,06/02/2013 06:32
Track 02,53.351414439378274,-6.25319302248708,06/02/2013 06:34
Track 02,53.35100817599341,-6.253027989429835,06/02/2013 06:37
Track 02,53.350621822801514,-6.252863503395286,06/02/2013 06:40
Track 02,53.35044959139032,-6.252727817151129,06/02/2013 06:42
Track 02,53.35028239841561,-6.252597125667051,06/02/2013 06:45
Track 02,53.35016473207119,-6.253124560834106,06/02/2013 06:48
Track 02,53.349997935893775,-6.253847326878206,06/02/2013 06:51
Track 02,53.34984078519951,-6.253774476893076,06/02/2013 06:53
Track 02,53.34957731930449,-6.253818646266554,06/02/2013 06:56
Track 02,53.3491480110211,-6.25470732602771,06/02/2013 06:59
Track 02,53.348706334512976,-6.254904223317929,06/02/2013 07:01
Track 02,53.34850986670847,-6.254880132113615,06/02/2013 07:04
Track 02,53.34845856791338,-6.254892984070188,06/02/2013 07:07
Track 02,53.34831475646883,-6.254939984583359,06/02/2013 07:10
Track 02,53.347542410135446,-6.254908218215044,06/02/2013 07:12
Track 02,53.34751259216923,-6.255929570832296,06/02/2013 07:15
Track 02,53.34732995572965,-6.257375678481632,06/02/2013 07:18
Track 02,53.347091648199694,-6.258301124744373,06/02/2013 07:20
Track 02,53.346991866365386,-6.258773452606631,06/02/2013 07:23
Track 02,53.34696814369644,-6.259039396723387,06/02/2013 07:26
Track 02,53.34669591704781,-6.260002825871264,06/02/2013 07:29
Track 02,53.346635574378155,-6.260609063974309,06/02/2013 07:31
Track 02,53.346273752975655,-6.261825010580279,06/02/2013 07:34
Track 02,53.34619958933682,-6.262482130827721,06/02/2013 07:37
Track 02,53.346037361966765,-6.262958265923364,06/02/2013 07:39
Track 02,53.34599718422416,-6.263396008459303,06/02/2013 07:42
Track 02,53.34561016394378,-6.263445404477418,06/02/2013 07:45
Track 02,53.34504173990196,-6.263376348966042,06/02/2013 07:48
Track 02,53.34502421048824,-6.2638258641841755,06/02/2013 07:50
Track 02,53.34507954760659,-6.263769997661955,06/02/2013 10:53
Track 02,53.3450597659674,-6.263369308960941,06/02/2013 10:56
Track 02,53.3455938448891,-6.263348958459755,06/02/2013 10:58
Track 02,53.345922842488086,-6.263397877820668,06/02/2013 11:01
Track 02,53.346090236544995,-6.262926025422484,06/02/2013 11:03
Track 02,53.34612888254691,-6.262544570533145,06/02/2013 11:06
Track 02,53.34627778896429,-6.261851492890505,06/02/2013 11:09
Track 02,53.346602497658196,-6.260655781773807,06/02/2013 11:11
Track 02,53.34680617586654,-6.259971505433359,06/02/2013 11:14
Track 02,53.346916710587415,-6.2590666299698885,06/02/2013 11:16
Track 02,53.34699374991599,-6.258802102098396,06/02/2013 11:19
Track 02,53.34708362363956,-6.258331860275425,06/02/2013 11:22
Track 02,53.347320090474874,-6.25739879109184,06/02/2013 11:24
Track 02,53.34748694379311,-6.25588750718786,06/02/2013 11:27
Track 02,53.34753823132021,-6.254962400391015,06/02/2013 11:29
Track 02,53.348256532343136,-6.2549491661060115,06/02/2013 11:32
Track 02,53.34846273852653,-6.254946757329028,06/02/2013 11:35
Track 02,53.34853102941542,-6.254977983814477,06/02/2013 11:37
Track 02,53.348705080454245,-6.254932348048988,06/02/2013 11:40
Track 02,53.349148204768596,-6.2547049924118205,06/02/2013 11:42
Track 02,53.34955408391865,-6.2538053797296245,06/02/2013 11:45
Track 02,53.349839584425304,-6.253691417275259,06/02/2013 11:48
Track 02,53.349761553402296,-6.253778851307919,06/02/2013 13:20
Track 02,53.34993813155138,-6.253869781321815,06/02/2013 13:23
Track 02,53.35071909296633,-6.254449173539337,06/02/2013 13:26
Track 02,53.35029031578007,-6.2574836903897575,06/02/2013 13:30
Track 02,53.35013416576306,-6.2581194331374395,06/02/2013 13:33
Track 02,53.34995945934108,-6.259042236281539,06/02/2013 13:36
Track 02,53.34980556154222,-6.26013575139118,06/02/2013 13:39
Track 02,53.34974196922417,-6.260269900295236,06/02/2013 13:42
Track 02,53.349664056545855,-6.260995187958541,06/02/2013 13:45
Track 02,53.34956949947458,-6.261914758717633,06/02/2013 13:48
Track 02,53.34916540548493,-6.264375571494543,06/02/2013 13:51
Track 02,53.3487957723898,-6.266612388066303,06/02/2013 13:54
Track 02,53.348757562869984,-6.26746058872857,06/02/2013 13:57
Track 02,53.349960143506514,-6.267892209888247,06/02/2013 14:01
Track 02,53.349975569050585,-6.2681491950186725,06/02/2013 14:04
Track 02,53.35016910485964,-6.269247272336932,06/02/2013 14:07
Track 02,53.35030485247685,-6.269502424422064,06/02/2013 14:10
Track 02,53.35103113766533,-6.270029407235908,06/02/2013 14:13
Track 02,53.35070814137161,-6.2705581541919235,06/02/2013 14:16
Track 02,53.35058917654814,-6.2709288398948155,06/02/2013 14:19
Track 02,53.35046494226139,-6.271182108033054,06/02/2013 14:22
Track 02,53.350363368999595,-6.271914696770031,06/02/2013 14:25
Track 02,53.35029821633931,-6.272404457275181,06/02/2013 14:28
Track 02,53.3502274639427,-6.27314404435203,06/02/2013 14:32
Track 02,53.35014092928523,-6.2736313619625,06/02/2013 14:35
Track 02,53.35012214138544,-6.274510434874132,06/02/2013 14:38
Track 02,53.349991643507146,-6.2757106819556725,06/02/2013 14:41
Track 02,53.34986069740868,-6.27679136301818,06/02/2013 14:44
Track 02,53.34978705751238,-6.277711732880597,06/02/2013 14:47
Track 02,53.35062280619244,-6.277693170947774,06/02/2013 14:50
Track 02,53.350557545295715,-6.279494428041894,06/02/2013 14:53
Track 02,53.3520078237992,-6.2797280675465785,06/02/2013 14:56
Track 02,53.35245021920614,-6.279993531610692,06/02/2013 14:59
Track 02,53.352774816905566,-6.279812254045277,06/02/2013 15:03
Track 02,53.354848655271574,-6.278565098993005,06/02/2013 15:06
Track 02,53.35486455828273,-6.278474263681984,06/02/2013 18:09
Track 02,53.352784588568106,-6.27991447434858,06/02/2013 18:12
Track 02,53.35238300967269,-6.2800008762372235,06/02/2013 18:15
Track 02,53.35197821226279,-6.279680608434015,06/02/2013 18:17
Track 02,53.35064283729797,-6.279541678088887,06/02/2013 18:20
Track 02,53.349934049015324,-6.279865327925781,06/02/2013 18:23
Track 02,53.34851104884329,-6.279780860850399,06/02/2013 18:26
Track 02,53.347713338993024,-6.280060393300911,06/02/2013 18:29
Track 02,53.34723562831515,-6.280119574228467,06/02/2013 18:32
Track 02,53.347202661128755,-6.280190358709558,06/02/2013 18:35
Track 02,53.346712645363375,-6.280267333823349,06/02/2013 18:38
Track 02,53.346146178481696,-6.280418082746488,06/02/2013 18:40
Track 02,53.34587601431615,-6.278759066547937,06/02/2013 18:43
Track 02,53.34545115329813,-6.276934348193422,06/02/2013 18:46
Track 02,53.34484691643769,-6.2772065176235605,06/02/2013 18:49
Track 02,53.344108343807406,-6.276986536166495,06/02/2013 18:52
Track 02,53.34373397588999,-6.276759697946239,06/02/2013 18:55
Track 02,53.3431466543709,-6.2762223611720005,06/02/2013 18:58
Track 02,53.34198400327075,-6.275124926538785,06/02/2013 19:01
Track 02,53.34177520141408,-6.2750987711398505,06/02/2013 19:04
Track 02,53.3416419949385,-6.275055657079972,06/02/2013 19:06
Track 02,53.3410228156187,-6.274626711377781,06/02/2013 19:09
Track 02,53.34050046219439,-6.274102806560617,06/02/2013 19:12
Track 02,53.34020680675884,-6.274022096889898,06/02/2013 19:15
Track 02,53.33915922705081,-6.273345313981226,06/02/2013 19:18
Track 02,53.33897825715818,-6.272646914774516,06/02/2013 19:21
Track 02,53.33840150942679,-6.2707263856989535,06/02/2013 19:24
Track 02,53.3382432647922,-6.269242750653414,06/02/2013 19:27
Track 02,53.33821767151835,-6.269316803445238,06/02/2013 21:30
Track 02,53.33764176190798,-6.267598704055391,06/02/2013 21:32
Track 02,53.3376653285532,-6.265737538317508,06/02/2013 21:35
Track 02,53.337667594785465,-6.264585891062431,06/02/2013 21:38
Track 02,53.338372960822106,-6.264546887166874,06/02/2013 21:41
Track 02,53.33880568950887,-6.2645455746329635,06/02/2013 21:44
Track 02,53.33890111848967,-6.264527427496558,06/02/2013 21:47
Track 02,53.3393121556876,-6.264298578025393,06/02/2013 21:50
Track 02,53.33971902190583,-6.264122275344359,06/02/2013 21:52
Track 02,53.34027023681964,-6.263710982811677,06/02/2013 21:55
Track 02,53.340496092049605,-6.263386909136803,06/02/2013 21:58
Track 02,53.34078411912156,-6.263371807396038,06/02/2013 22:01
Track 02,53.34114682295455,-6.263187900423826,06/02/2013 22:04
Track 02,53.342257238376554,-6.262420960782503,06/02/2013 22:07
Track 02,53.34310093722977,-6.262041188493652,06/02/2013 22:10
Track 02,53.343615502798905,-6.2616866302444665,06/02/2013 22:13
Track 02,53.343855279276596,-6.260887439092186,06/02/2013 22:15
Track 02,53.344301319524234,-6.260849314826233,06/02/2013 22:18
Track 02,53.3443837215809,-6.260879644853055,06/02/2013 22:21
Track 02,53.34460627763026,-6.259689375030522,06/02/2013 22:24
Track 02,53.344779716497555,-6.259221135328062,06/02/2013 22:27
Track 02,53.34500621161552,-6.259167139786907,06/02/2013 22:30
Track 02,53.34531767097778,-6.258486992605539,06/02/2013 22:33
Track 02,53.34569578810164,-6.257413135498993,06/02/2013 22:35
Track 02,53.34593613503902,-6.257342723985095,06/02/2013 22:38
Track 02,53.34589448179497,-6.2569434221807505,06/02/2013 22:41
Track 02,53.345902115884506,-6.255153000192823,06/02/2013 22:44
Track 02,53.34678262198882,-6.255035600666028,06/02/2013 22:47
Track 02,53.34752154064292,-6.254978662707847,06/02/2013 22:50
Track 02,53.34830627814541,-6.254984666035926,06/02/2013 22:53
Track 02,53.34848695078515,-6.254871223480423,06/02/2013 22:56
Track 02,53.34851465615082,-6.254949425839495,06/02/2013 22:58
Track 02,53.34863246734942,-6.254875849537971,06/02/2013 23:01
Track 02,53.34917772533342,-6.254702144161923,06/02/2013 23:04
Track 02,53.349499948839224,-6.253763676081223,06/02/2013 23:07
Track 02,53.34984892092902,-6.253702445504906,06/02/2013 23:10
Track 02,53.349983109542634,-6.253879711524537,06/02/2013 23:13
Track 02,53.350145502379085,-6.253161589771932,06/02/2013 23:16
Track 02,53.35028882372553,-6.252649835121107,06/02/2013 23:18
Track 02,53.350439375327646,-6.252679205496711,06/02/2013 23:21
Track 02,53.35063499623026,-6.252868431012819,06/02/2013 23:24
Track 02,53.35090910170771,-6.252955100512154,06/02/2013 23:27
Track 02,53.351421019053866,-6.253198219764944,06/02/2013 23:30
Track 02,53.35168754184401,-6.252520196162858,06/02/2013 23:33
Track 02,53.35185893446144,-6.25163128367855,06/02/2013 23:36
Track 02,53.35194530955859,-6.2514251984802085,06/02/2013 23:39
Track 02,53.352519236176285,-6.250161989045875,06/02/2013 23:41
Track 02,53.352784929687864,-6.250260708468899,06/02/2013 23:44
Track 02,53.35308466915584,-6.250439581904608,06/02/2013 23:47
Track 02,53.35350112260474,-6.250654146807888,06/02/2013 23:50
Track 02,53.35349476829675,-6.250586636040709,07/02/2013 05:56
Track 02,53.353255657888745,-6.25139433899182,07/02/2013 05:58
Track 02,53.35303702056433,-6.252513169669116,07/02/2013 06:00
Track 02,53.35287011026053,-6.252983961316633,07/02/2013 06:02
Track 02,53.35261333749452,-6.254087287279976,07/02/2013 06:03
Track 02,53.35251705288122,-6.2548154598684516,07/02/2013 06:05
Track 02,53.352427360753744,-6.255073726674236,07/02/2013 06:07
Track 02,53.35233155530347,-6.255516683878567,07/02/2013 06:08
Track 02,53.3530724297096,-6.256048025323121,07/02/2013 06:10
Track 02,53.3527623327718,-6.257360084073688,07/02/2013 06:12
Track 02,53.35274983128995,-6.257493804898447,07/02/2013 06:13
Track 02,53.3526791785122,-6.257907065251535,07/02/2013 06:15
Track 02,53.35237644820515,-6.259202021146874,07/02/2013 06:17
Track 02,53.352086691531476,-6.260002311042224,07/02/2013 06:18
Track 02,53.351953054638344,-6.26106589964463,07/02/2013 06:20
Track 02,53.35196285801918,-6.261268945901859,07/02/2013 06:22
Track 02,53.35249403401164,-6.261635637178755,07/02/2013 06:24
Track 02,53.3521451929652,-6.262389077459593,07/02/2013 06:25
Track 02,53.35202379097284,-6.262608337759378,07/02/2013 06:27
Track 02,53.35194368419693,-6.262838816140579,07/02/2013 06:29
Track 02,53.35186802757094,-6.2629614366132325,07/02/2013 06:30
Track 02,53.35130526355543,-6.263602426819361,07/02/2013 06:32
Track 02,53.35101990542699,-6.264487907244091,07/02/2013 06:34
Track 02,53.35089765697268,-6.264780078112655,07/02/2013 06:35
Track 02,53.35031885806295,-6.266410955043522,07/02/2013 06:37
Track 02,53.35010042503007,-6.267047405490273,07/02/2013 06:39
Track 02,53.34994821103306,-6.267898775020912,07/02/2013 06:40
Track 02,53.34988000993255,-6.268128868467744,07/02/2013 06:42
Track 02,53.350211783413954,-6.269138355837985,07/02/2013 06:44
Track 02,53.35033402484612,-6.2695810893580965,07/02/2013 06:46
Track 02,53.35106718122246,-6.270056160304555,07/02/2013 06:47
Track 02,53.350697532146825,-6.270513533558693,07/02/2013 06:49
Track 02,53.35059955714678,-6.270960573404677,07/02/2013 06:51
Track 02,53.35046240910399,-6.271198667407758,07/02/2013 06:52
Track 02,53.35028014908505,-6.271916824458597,07/02/2013 06:54
Track 02,53.35026352804683,-6.272441122675139,07/02/2013 06:56
Track 02,53.350216641829924,-6.273255450426169,07/02/2013 06:57
Track 02,53.350139167601355,-6.273590868475614,07/02/2013 06:59
Track 02,53.35020205308195,-6.274540137835479,07/02/2013 07:01
Track 02,53.34997206914922,-6.275631186737673,07/02/2013 07:02
Track 02,53.34987290964725,-6.276813058478006,07/02/2013 07:04
Track 02,53.34977001975554,-6.277689411992173,07/02/2013 07:06
Track 02,53.349856088689215,-6.279761978812499,07/02/2013 07:07
Track 02,53.35009687006417,-6.281688708954663,07/02/2013 07:09
Track 02,53.35040292746904,-6.281790329839459,07/02/2013 07:11
Track 02,53.35001535316204,-6.283414784037,07/02/2013 07:13
Track 02,53.34990617450085,-6.283939611041042,07/02/2013 07:14
Track 02,53.34985547155138,-6.283885875904424,07/02/2013 10:16
Track 02,53.34997493250959,-6.2834527740655455,07/02/2013 10:23
Track 02,53.350436222849844,-6.2818669119004245,07/02/2013 10:30
Track 02,53.350044071368316,-6.281698165439991,07/02/2013 10:37
Track 02,53.34988489564689,-6.279831964240508,07/02/2013 10:45
Track 02,53.348522793622756,-6.279801505839298,07/02/2013 10:52
Track 02,53.34775664639139,-6.28000904156191,07/02/2013 10:59
Track 02,53.34727667340958,-6.280123380309334,07/02/2013 11:06
Track 02,53.34719370953958,-6.2801390790765845,07/02/2013 11:13
Track 02,53.34662872719984,-6.280346877248847,07/02/2013 11:20
Track 02,53.346188787743884,-6.280468498950319,07/02/2013 11:27
Track 02,53.34590215837825,-6.278774699817105,07/02/2013 11:35
Track 02,53.34550410503828,-6.276911035379871,07/02/2013 11:42
Track 02,53.34489134057735,-6.277216212284487,07/02/2013 11:49
Track 02,53.344197235228314,-6.276939686232602,07/02/2013 11:56
Track 02,53.343750717472034,-6.276773687141298,07/02/2013 12:03
Track 02,53.34306763139793,-6.276121438031135,07/02/2013 12:10
Track 02,53.34321763029099,-6.275444841654862,07/02/2013 12:18
Track 02,53.343226726806826,-6.275379277473247,07/02/2013 13:55
Track 02,53.34343179134788,-6.274548270161439,07/02/2013 13:56
Track 02,53.343237866138395,-6.273524665411218,07/02/2013 13:57
Track 02,53.34369657989127,-6.273321215112126,07/02/2013 13:58
Track 02,53.343892058755344,-6.273184134339295,07/02/2013 13:59
Track 02,53.34415793112084,-6.273272273292476,07/02/2013 14:00
Track 02,53.34425847811901,-6.272336398580539,07/02/2013 14:01
Track 02,53.3441984404109,-6.271798972543743,07/02/2013 14:03
Track 02,53.34498411652744,-6.272035660697861,07/02/2013 14:04
Track 02,53.345544338720416,-6.272137145027832,07/02/2013 14:05
Track 02,53.346583997846736,-6.272502231218546,07/02/2013 14:06
Track 02,53.346831856804144,-6.272409687488325,07/02/2013 14:07
Track 02,53.34683749201012,-6.27207443021426,07/02/2013 14:08
Track 02,53.3469494354826,-6.271557456531191,07/02/2013 14:09
Track 02,53.347102067218906,-6.270321498924599,07/02/2013 14:10
Track 02,53.3482218446842,-6.270356903988581,07/02/2013 14:12
Track 02,53.34829114748321,-6.269449291230125,07/02/2013 14:13
Track 02,53.34842615487203,-6.268779116689707,07/02/2013 14:14
Track 02,53.34847937398587,-6.2688103246931695,07/02/2013 14:15
Track 02,53.348597658761456,-6.268018359656352,07/02/2013 14:16
Track 02,53.34876115181328,-6.267380382831396,07/02/2013 14:17
Track 02,53.348851518551925,-6.266649294004402,07/02/2013 14:18
Track 02,53.34919940519202,-6.264377824986285,07/02/2013 14:19
Track 02,53.349576235236505,-6.261827915903549,07/02/2013 14:21
Track 02,53.349738152670085,-6.26096131205463,07/02/2013 14:22
Track 02,53.349765517824025,-6.260338716457234,07/02/2013 14:23
Track 02,53.34985906396611,-6.26009933894757,07/02/2013 14:24
Track 02,53.35000806577196,-6.259066882526423,07/02/2013 14:25
Track 02,53.35019679409545,-6.258135996630809,07/02/2013 14:26
Track 02,53.350511824106356,-6.258329490090221,07/02/2013 14:27
Track 02,53.35062766385837,-6.257966430117585,07/02/2013 14:28
Track 02,53.350607446224956,-6.257938297094419,07/02/2013 17:30
Track 02,53.3504638193859,-6.258268467437155,07/02/2013 17:33
Track 02,53.35014717271127,-6.258174303301748,07/02/2013 17:36
Track 02,53.34971547091017,-6.257992539913371,07/02/2013 17:39
Track 02,53.34922300244501,-6.257710992424839,07/02/2013 17:42
Track 02,53.348757548994314,-6.25759823638072,07/02/2013 17:46
Track 02,53.34829985453409,-6.257554151004783,07/02/2013 17:49
Track 02,53.34813468982202,-6.25878462144029,07/02/2013 17:52
Track 02,53.34779036159919,-6.258519466995938,07/02/2013 17:55
Track 02,53.347595718831286,-6.259206195783265,07/02/2013 17:59
Track 02,53.347552121920295,-6.259274155209286,07/02/2013 18:02
Track 02,53.34698210645791,-6.259021926379647,07/02/2013 18:05
Track 02,53.346717024302,-6.2591133542995605,07/02/2013 18:08
Track 02,53.3458586447584,-6.259086358990329,07/02/2013 18:12
Track 02,53.34535436385153,-6.2591555832393135,07/02/2013 18:15
Track 02,53.34491242533243,-6.259135015375229,07/02/2013 18:18
Track 02,53.344781404623745,-6.2593189649072665,07/02/2013 18:21
Track 02,53.34462499231265,-6.259678113594377,07/02/2013 18:25
Track 02,53.34440280740567,-6.2608212722381875,07/02/2013 18:28
Track 02,53.3443671383586,-6.260832567412529,07/02/2013 18:31
Track 02,53.343825451731945,-6.260783671456822,07/02/2013 18:34
Track 02,53.34356773147423,-6.261750113089711,07/02/2013 18:38
Track 02,53.343084033262706,-6.262037999866615,07/02/2013 18:41
Track 02,53.342271480305605,-6.262456073872838,07/02/2013 18:44
Track 02,53.34117638692041,-6.263242016672302,07/02/2013 18:47
Track 02,53.34086893336898,-6.263342581294391,07/02/2013 18:51
Track 02,53.34058798788994,-6.263433114477989,07/02/2013 18:54
Track 02,53.34021634409768,-6.263668782528767,07/02/2013 18:57
Track 02,53.33978414080076,-6.264043481691214,07/02/2013 19:00
Track 02,53.339262730002524,-6.264263780206972,07/02/2013 19:04
Track 02,53.338837839465285,-6.264584272977046,07/02/2013 19:07
Track 02,53.33881982532517,-6.26451772198347,07/02/2013 19:10
Track 02,53.33842088653727,-6.264558105259304,07/02/2013 19:13
Track 02,53.33771259177586,-6.2645461155023625,07/02/2013 19:17
Track 02,53.33772443323074,-6.265788064174958,07/02/2013 19:20
Track 02,53.33769092162694,-6.267532997713544,07/02/2013 19:23
Track 02,53.33819586271004,-6.269330059047501,07/02/2013 19:26
Track 02,53.3382119458709,-6.269244451399667,07/02/2013 21:30
Track 02,53.33765833318781,-6.2675315807330625,07/02/2013 21:33
Track 02,53.337646760723146,-6.265744512556333,07/02/2013 21:37
Track 02,53.33769674531231,-6.2646212119441635,07/02/2013 21:40
Track 02,53.33837785398937,-6.264527144521468,07/02/2013 21:44
Track 02,53.338761039983595,-6.264498328242756,07/02/2013 21:47
Track 02,53.33885389546425,-6.26452314951673,07/02/2013 21:51
Track 02,53.33931639050186,-6.264290762195631,07/02/2013 21:54
Track 02,53.339731588193686,-6.264089847430196,07/02/2013 21:58
Track 02,53.34020336057168,-6.263705272786683,07/02/2013 22:01
Track 02,53.34052329407092,-6.263489565303575,07/02/2013 22:05
Track 02,53.34089419284906,-6.263431669525943,07/02/2013 22:08
Track 02,53.341225970760455,-6.263139901240768,07/02/2013 22:12
Track 02,53.342243918399404,-6.26247886649537,07/02/2013 22:15
Track 02,53.343083224349925,-6.261953067743056,07/02/2013 22:19
Track 02,53.34358938081128,-6.261686380397973,07/02/2013 22:22
Track 02,53.34388742065639,-6.260860897622104,07/02/2013 22:26
Track 02,53.34437536339411,-6.2608772150593675,07/02/2013 22:30
Track 02,53.344399243779144,-6.260814088076252,07/02/2013 22:33
Track 02,53.3445295980981,-6.2597421081755735,07/02/2013 22:37
Track 02,53.344851072639045,-6.2592216438240715,07/02/2013 22:40
Track 02,53.34494493093313,-6.259221661886784,07/02/2013 22:44
Track 02,53.34540271622358,-6.258405683199967,07/02/2013 22:47
Track 02,53.345620962341016,-6.257405777432239,07/02/2013 22:51
Track 02,53.345865486650986,-6.257282001677858,07/02/2013 22:54
Track 02,53.345872829456155,-6.256911609368472,07/02/2013 22:58
Track 02,53.34593753515994,-6.255150119264154,07/02/2013 23:01
Track 02,53.34680223718352,-6.255086208806186,07/02/2013 23:05
Track 02,53.34748971238155,-6.254956308332525,07/02/2013 23:08
Track 02,53.34832655752861,-6.254908011280113,07/02/2013 23:12
Track 02,53.34841789915239,-6.254898493082881,07/02/2013 23:15
Track 02,53.348507344497406,-6.254977243298188,07/02/2013 23:19
Track 02,53.34866733530486,-6.25497805616243,07/02/2013 23:23
Track 02,53.349164285428465,-6.254731639079136,07/02/2013 23:26
Track 02,53.34951898161105,-6.253807813967983,07/02/2013 23:30
Track 02,53.34983835928348,-6.253696606922604,07/02/2013 23:33
Track 02,53.34992142085383,-6.253905217080847,07/02/2013 23:37
Track 02,53.35009633296119,-6.253128436973446,07/02/2013 23:40
Track 02,53.35027488680661,-6.25271144442653,07/02/2013 23:44
Track 02,53.35036957940757,-6.252649493006314,07/02/2013 23:47
Track 02,53.35064478990599,-6.252789477989604,07/02/2013 23:51
Track 02,53.35099874257911,-6.253019237835708,07/02/2013 23:54
Track 02,53.351349372492564,-6.253298637069126,07/02/2013 23:58
Track 02,53.351600119041485,-6.252470744004528,08/02/2013 00:01
Track 02,53.35194885244865,-6.251594861406862,08/02/2013 00:05
Track 02,53.35201598794718,-6.251341283561514,08/02/2013 00:08
Track 02,53.35245985003021,-6.250162114238136,08/02/2013 00:12
Track 02,53.352846454566716,-6.2502050546207,08/02/2013 00:16
Track 02,53.35316894674548,-6.25047172487187,08/02/2013 00:19
Track 02,53.35344153278311,-6.250632150398567,08/02/2013 00:23
Track 02,53.35339922983024,-6.250599267443439,08/02/2013 06:26
Track 02,53.353639274188424,-6.249415798492576,08/02/2013 06:28
Track 02,53.354256879909215,-6.249835543080091,08/02/2013 06:29
Track 02,53.354444338930676,-6.249097112692158,08/02/2013 06:31
Track 02,53.354721776632616,-6.2481383993195685,08/02/2013 06:32
Track 02,53.3548218346408,-6.247715497323314,08/02/2013 06:34
Track 02,53.35489244975619,-6.246909271608233,08/02/2013 06:35
Track 02,53.35504347667638,-6.246329073682639,08/02/2013 06:37
Track 02,53.35524041692645,-6.246120508963634,08/02/2013 06:38
Track 02,53.35566405444214,-6.245581922964077,08/02/2013 06:40
Track 02,53.355697642269945,-6.245406906989938,08/02/2013 06:41
Track 02,53.35600967419058,-6.24511891428875,08/02/2013 06:42
Track 02,53.35621812387657,-6.244739324549443,08/02/2013 06:44
Track 02,53.356448980476415,-6.244450296278702,08/02/2013 06:45
Track 02,53.356794915470346,-6.243973986179901,08/02/2013 06:47
Track 02,53.35683831820786,-6.243696975921241,08/02/2013 06:48
Track 02,53.35715971768905,-6.243266475389896,08/02/2013 06:50
Track 02,53.35750148457288,-6.242814433762443,08/02/2013 06:51
Track 02,53.35779876784122,-6.24224978260224,08/02/2013 06:53
Track 02,53.357954338629895,-6.2421450973286445,08/02/2013 06:54
Track 02,53.358254150678384,-6.2416543843786325,08/02/2013 06:56
Track 02,53.3586450654858,-6.2410866709281,08/02/2013 06:57
Track 02,53.35878268964783,-6.240904356876796,08/02/2013 06:58
Track 02,53.35899336712113,-6.2415043592995545,08/02/2013 07:00
Track 02,53.35940742313671,-6.24127273799686,08/02/2013 07:01
Track 02,53.359567570486874,-6.241965886991947,08/02/2013 07:03
Track 02,53.35956740348796,-6.2420224512686655,08/02/2013 10:04
Track 02,53.360190929306874,-6.244202342654206,08/02/2013 10:07
