Track Number,Latitude,Longitude,Date and Time
Track 02,53.34079383,-6.260756189,06/02/2013 0:00
Track 02,53.34076141,-6.260737039,06/02/2013 5:15
Track 02,53.34009327,-6.26076668,06/02/2013 5:28
Track 02,53.33954981,-6.258697129,06/02/2013 5:40
Track 02,53.339017,-6.256483572,06/02/2013 5:52
Track 02,53.33856876,-6.255365586,06/02/2013 6:04
Track 02,53.33844369,-6.254675433,06/02/2013 6:18
Track 02,53.33818314,-6.253478679,06/02/2013 6:35
Track 02,53.3384741,-6.253219981,06/02/2013 6:50
Track 02,53.33889915,-6.252808855,06/02/2013 7:03
Track 02,53.33950368,-6.252328529,06/02/2013 7:15
Track 02,53.33978675,-6.2520473,06/02/2013 7:27
Track 02,53.33979618,-6.252046804,06/02/2013 10:30
Track 02,53.34120751,-6.250732886,06/02/2013 10:31
Track 02,53.34161073,-6.252099178,06/02/2013 10:33
Track 02,53.3418068,-6.252560884,06/02/2013 10:35
Track 02,53.34220292,-6.251620956,06/02/2013 10:36
Track 02,53.34219074,-6.251250971,06/02/2013 10:38
Track 02,53.34204144,-6.250500443,06/02/2013 10:40
Track 02,53.34388974,-6.249397352,06/02/2013 10:41
Track 02,53.34421932,-6.249545241,06/02/2013 10:43
Track 02,53.34461024,-6.251528851,06/02/2013 10:45
Track 02,53.34473917,-6.252184575,06/02/2013 10:46
Track 02,53.34523461,-6.252324011,06/02/2013 10:48
Track 02,53.3458496,-6.252055185,06/02/2013 10:50
Track 02,53.34625255,-6.252009139,06/02/2013 10:51
Track 02,53.34654262,-6.251909892,06/02/2013 10:53
Track 02,53.34681074,-6.251997597,06/02/2013 10:55
Track 02,53.3475099,-6.251864621,06/02/2013 10:56
Track 02,53.34819395,-6.251545664,06/02/2013 10:58
Track 02,53.34830819,-6.251485953,06/02/2013 11:00
Track 02,53.34908985,-6.251665118,06/02/2013 11:01
Track 02,53.34922114,-6.251776711,06/02/2013 11:03
Track 02,53.3494272,-6.252301736,06/02/2013 11:05
Track 02,53.34939796,-6.25338251,06/02/2013 11:06
Track 02,53.34977471,-6.253669833,06/02/2013 11:08
Track 02,53.34993846,-6.253859594,06/02/2013 11:10
Track 02,53.35071195,-6.254350319,06/02/2013 11:11
Track 02,53.35151417,-6.25498585,06/02/2013 11:13
Track 02,53.35242892,-6.255538912,06/02/2013 11:15
Track 02,53.35302713,-6.256033069,06/02/2013 11:16
