Track Number,Latitude,Longitude,Date and Time
Track 02,53.349314251010156,-6.273561651799555,06/02/2013 00:00
Track 02,53.34925554258243,-6.273516668793626,06/02/2013 05:20
Track 02,53.348744927143485,-6.273446366917854,06/02/2013 05:22
Track 02,53.34845552034052,-6.273486079702754,06/02/2013 05:25
Track 02,53.34805032215454,-6.2732657321624306,06/02/2013 05:27
Track 02,53.34816649057399,-6.271939163091031,06/02/2013 05:29
Track 02,53.34830853961825,-6.2712871052521955,06/02/2013 05:31
Track 02,53.34820693364469,-6.270342884719797,06/02/2013 05:34
Track 02,53.34834568033789,-6.2694754192392494,06/02/2013 05:36
Track 02,53.34835792222529,-6.268689730877447,06/02/2013 05:38
Track 02,53.34727126590773,-6.268269668272866,06/02/2013 05:40
Track 02,53.34648618532885,-6.268011620102491,06/02/2013 05:43
Track 02,53.34604592208355,-6.267927625964648,06/02/2013 05:45
Track 02,53.34621125979191,-6.265648138533618,06/02/2013 05:47
Track 02,53.34630183332723,-6.265067374637624,06/02/2013 05:49
Track 02,53.346611685094885,-6.263273648398086,06/02/2013 05:52
Track 02,53.34606654346486,-6.2629329467009525,06/02/2013 05:54
Track 02,53.34617074763514,-6.26248460995173,06/02/2013 05:56
Track 02,53.346363101404094,-6.2618273849579476,06/02/2013 05:58
Track 02,53.34655833704842,-6.260669225097181,06/02/2013 06:01
Track 02,53.34676768375533,-6.2600381029149395,06/02/2013 06:03
Track 02,53.346958975498936,-6.259101541527082,06/02/2013 06:05
Track 02,53.347010489701255,-6.258787898151986,06/02/2013 06:07
Track 02,53.34694159465442,-6.258674441423507,06/02/2013 06:10
Track 02,53.346755339721064,-6.258582217218873,06/02/2013 06:12
Track 02,53.34588682678279,-6.257337666320399,06/02/2013 06:14
Track 02,53.34564309509787,-6.257483215550582,06/02/2013 06:16
Track 02,53.34564818317323,-6.256984967955768,06/02/2013 06:19
Track 02,53.34550050992,-6.255902582238769,06/02/2013 06:21
Track 02,53.3452674976085,-6.2550902037299085,06/02/2013 06:23
Track 02,53.34521847453807,-6.254532766617486,06/02/2013 06:25
Track 02,53.344930268729534,-6.253178797634008,06/02/2013 06:28
Track 02,53.34479740477403,-6.2522248171217845,06/02/2013 06:30
Track 02,53.34465189853002,-6.2514400902661,06/02/2013 06:32
Track 02,53.34417136094022,-6.249625046382438,06/02/2013 06:34
Track 02,53.34412565685688,-6.2492444602608375,06/02/2013 06:37
Track 02,53.34406227793846,-6.248616977648543,06/02/2013 06:39
Track 02,53.3438082989759,-6.247790777321114,06/02/2013 06:41
Track 02,53.343768685779274,-6.247409980887784,06/02/2013 06:43
Track 02,53.34376286353462,-6.247390059911871,06/02/2013 09:46
Track 02,53.34363217112632,-6.246452008615896,06/02/2013 09:49
Track 02,53.343219471703804,-6.246306901747459,06/02/2013 09:53
Track 02,53.342957883670884,-6.246384880584947,06/02/2013 09:57
Track 02,53.342562043841546,-6.24624555428637,06/02/2013 10:01
Track 02,53.34207851913775,-6.2462170137434505,06/02/2013 10:05
Track 02,53.34137535974672,-6.246242060062994,06/02/2013 10:08
Track 02,53.34116345887354,-6.245363964362728,06/02/2013 10:12
Track 02,53.341002538719934,-6.244835129188313,06/02/2013 10:16
Track 02,53.34091874061857,-6.24448457216634,06/02/2013 10:20
Track 02,53.340749311969475,-6.244247782188263,06/02/2013 10:24
Track 02,53.340596280449596,-6.243662105333107,06/02/2013 10:28
Track 02,53.34034935114503,-6.243205781549904,06/02/2013 10:31
Track 02,53.340273463936875,-6.243050038221512,06/02/2013 10:35
Track 02,53.34004406899788,-6.242651045380021,06/02/2013 10:39
Track 02,53.33990660869017,-6.242174704721272,06/02/2013 10:43
Track 02,53.33976363776595,-6.241834208782309,06/02/2013 10:47
Track 02,53.3397030544148,-6.241682455378956,06/02/2013 10:50
Track 02,53.339080826585366,-6.24012102331271,06/02/2013 10:54
Track 02,53.33888620113713,-6.23961276491571,06/02/2013 10:58
Track 02,53.33868930397315,-6.239011909498276,06/02/2013 11:02
Track 02,53.338538068850305,-6.238454672191834,06/02/2013 11:06
Track 02,53.3379179510714,-6.239330916853091,06/02/2013 11:09
Track 02,53.33743799544085,-6.238392386011116,06/02/2013 11:13
Track 02,53.337503271246675,-6.238389816485336,06/02/2013 12:47
Track 02,53.337844282716404,-6.239362726810926,06/02/2013 12:48
Track 02,53.33753933445051,-6.240198288443548,06/02/2013 12:50
Track 02,53.33772011913674,-6.240520782571414,06/02/2013 12:51
Track 02,53.33799794263086,-6.241509479232139,06/02/2013 12:53
