Track Number,Latitude,Longitude,Date and Time
Track 02,53.36022446390641,-6.258075936341956,06/02/2013 00:00
Track 02,53.360220329128325,-6.258039006206069,06/02/2013 06:18
Track 02,53.3592476756024,-6.258670007590326,06/02/2013 06:21
Track 02,53.35890310523943,-6.259680393007829,06/02/2013 06:25
Track 02,53.3584214915656,-6.260706450363241,06/02/2013 06:28
Track 02,53.35900161209393,-6.26202172470473,06/02/2013 06:32
Track 02,53.35843076294149,-6.262563232196718,06/02/2013 06:35
Track 02,53.358015099445716,-6.263156256056179,06/02/2013 06:39
Track 02,53.3575257204463,-6.263820209640906,06/02/2013 06:43
Track 02,53.35725126540096,-6.263315759813862,06/02/2013 06:46
Track 02,53.35711639004193,-6.263048353042003,06/02/2013 06:50
Track 02,53.3558586658584,-6.264152134508164,06/02/2013 06:53
Track 02,53.355700836565376,-6.264196039142426,06/02/2013 06:57
Track 02,53.35538174470112,-6.264525948538478,06/02/2013 07:00
Track 02,53.355029828112066,-6.263997337181175,06/02/2013 07:04
Track 02,53.354990647516324,-6.263986663317655,06/02/2013 07:07
Track 02,53.35453606273362,-6.263459276899384,06/02/2013 07:11
Track 02,53.35462102767325,-6.263499498184686,06/02/2013 10:14
Track 02,53.355128076908834,-6.262528948045041,06/02/2013 10:16
Track 02,53.35542530504587,-6.261944585540793,06/02/2013 10:18
Track 02,53.3540353688616,-6.260207842191969,06/02/2013 10:20
Track 02,53.35346895949129,-6.259390378392526,06/02/2013 10:22
Track 02,53.35359116646301,-6.259126872946553,06/02/2013 10:24
Track 02,53.35304707297542,-6.25878033552619,06/02/2013 10:26
Track 02,53.35320758190015,-6.257758206121088,06/02/2013 10:28
Track 02,53.3529922550497,-6.2575897370636255,06/02/2013 10:29
Track 02,53.35276330036333,-6.2574999354747085,06/02/2013 10:31
Track 02,53.35274121366153,-6.257311295243793,06/02/2013 10:33
Track 02,53.353051923324465,-6.256039003754281,06/02/2013 10:35
Track 02,53.35333976927414,-6.254516486725047,06/02/2013 10:37
Track 02,53.35360560845498,-6.2533080473222755,06/02/2013 10:39
Track 02,53.35365723881079,-6.253203822588018,06/02/2013 10:41
Track 02,53.353633944593,-6.252987614229302,06/02/2013 10:43
Track 02,53.35372696629528,-6.2528185961218075,06/02/2013 10:45
Track 02,53.353985021427896,-6.2515225039049955,06/02/2013 10:47
Track 02,53.35400079388472,-6.251321557220806,06/02/2013 10:49
Track 02,53.3542675173942,-6.249833159720922,06/02/2013 10:51
Track 02,53.35450937859073,-6.249095370887488,06/02/2013 10:52
Track 02,53.354662135795934,-6.248206594033485,06/02/2013 10:54
Track 02,53.35484518751425,-6.247681567949001,06/02/2013 10:56
Track 02,53.35496406453029,-6.246925687272611,06/02/2013 10:58
Track 02,53.35511155637822,-6.246384638725567,06/02/2013 11:00
Track 02,53.35523804107959,-6.246092815828992,06/02/2013 11:02
Track 02,53.35556757926512,-6.245611792100889,06/02/2013 11:04
Track 02,53.355763485758864,-6.245463897474827,06/02/2013 11:06
Track 02,53.35607390209101,-6.2450742825270735,06/02/2013 11:08
Track 02,53.35631508914944,-6.244707756998972,06/02/2013 11:10
Track 02,53.35645319077334,-6.244457138861815,06/02/2013 11:12
Track 02,53.35676386086035,-6.243933018124481,06/02/2013 11:14
Track 02,53.35687054854942,-6.2437121973461265,06/02/2013 11:15
Track 02,53.35719219111379,-6.243226751399294,06/02/2013 11:17
Track 02,53.35754110407507,-6.242833706162698,06/02/2013 11:19
Track 02,53.357845882471416,-6.2422091539861775,06/02/2013 11:21
Track 02,53.357969422810136,-6.242172329331901,06/02/2013 11:23
Track 02,53.35823431528174,-6.2416068375749845,06/02/2013 11:25
Track 02,53.358683735894964,-6.241135741443286,06/02/2013 11:27
Track 02,53.358735759861226,-6.240913014465627,06/02/2013 11:29
Track 02,53.359117138102874,-6.2405534124565705,06/02/2013 11:31
Track 02,53.35838399493299,-6.239075917348667,06/02/2013 11:33
Track 02,53.358468391138274,-6.239067429186854,06/02/2013 13:05
Track 02,53.35915800071596,-6.240541610266908,06/02/2013 13:08
Track 02,53.358772706620556,-6.241006537114989,06/02/2013 13:11
Track 02,53.35867144824004,-6.241104742576084,06/02/2013 13:15
Track 02,53.358192959289696,-6.241613280271856,06/02/2013 13:18
Track 02,53.357942303468306,-6.2421381911145755,06/02/2013 13:21
Track 02,53.35783418825602,-6.242304722324291,06/02/2013 13:24
Track 02,53.35757222504829,-6.242753785682042,06/02/2013 13:28
Track 02,53.35723297929672,-6.243244106885555,06/02/2013 13:31
Track 02,53.356835966780295,-6.243783793301552,06/02/2013 13:34
Track 02,53.356733793263864,-6.24397633344403,06/02/2013 13:38
Track 02,53.35647669707264,-6.244514905817243,06/02/2013 13:41
Track 02,53.35629363384586,-6.244708144631023,06/02/2013 13:44
Track 02,53.35607401074115,-6.245093687481645,06/02/2013 13:48
Track 02,53.355733931741376,-6.24536186757502,06/02/2013 13:51
Track 02,53.35566251817422,-6.245641061494015,06/02/2013 13:54
Track 02,53.35520704389833,-6.246110222454899,06/02/2013 13:57
Track 02,53.3550361793291,-6.246319697212846,06/02/2013 14:01
Track 02,53.354957490838494,-6.246933550295543,06/02/2013 14:04
Track 02,53.354797516588164,-6.247749898513217,06/02/2013 14:07
Track 02,53.35463063635028,-6.2482097373023935,06/02/2013 14:11
Track 02,53.35449139656033,-6.249068029084139,06/02/2013 14:14
Track 02,53.35433279470719,-6.24978028421843,06/02/2013 14:17
Track 02,53.35406564292126,-6.251390250563609,06/02/2013 14:21
Track 02,53.35403466990027,-6.2514736179213415,06/02/2013 14:24
Track 02,53.353710370998954,-6.252819292828661,06/02/2013 14:27
Track 02,53.35370652751609,-6.252992170763433,06/02/2013 14:30
Track 02,53.353592258171176,-6.253222282168591,06/02/2013 14:34
Track 02,53.35359579796169,-6.253389192156846,06/02/2013 14:37
Track 02,53.35334839379194,-6.254536908062364,06/02/2013 14:40
Track 02,53.35308556595767,-6.256024515852492,06/02/2013 14:44
Track 02,53.35280136050537,-6.257369456088839,06/02/2013 14:47
Track 02,53.352781682537056,-6.257591244621595,06/02/2013 14:50
Track 02,53.35271819022321,-6.257961282184528,06/02/2013 14:54
Track 02,53.35233793047772,-6.25918405042188,06/02/2013 14:57
Track 02,53.3521849409065,-6.260063394550789,06/02/2013 15:00
Track 02,53.35192611765051,-6.261054917867276,06/02/2013 15:03
Track 02,53.35123749869773,-6.260790106034702,06/02/2013 15:07
Track 02,53.351185939175735,-6.260730507644366,06/02/2013 18:10
Track 02,53.3512071658705,-6.260985711250032,06/02/2013 18:17
Track 02,53.35189822642852,-6.261321108603101,06/02/2013 18:23
Track 02,53.352529295429285,-6.26157201379417,06/02/2013 18:30
Track 02,53.35211646597533,-6.262353448847798,06/02/2013 18:37
Track 02,53.35205055429283,-6.262594420709495,06/02/2013 18:43
Track 02,53.351983053661144,-6.262890278134888,06/02/2013 18:50
Track 02,53.35191189693361,-6.263087917154814,06/02/2013 18:56
Track 02,53.352087383887955,-6.26333444669395,06/02/2013 19:03
Track 02,53.352496061317645,-6.263900645314971,06/02/2013 19:10
Track 02,53.35307962251423,-6.264705612959515,06/02/2013 19:16
Track 02,53.35360434728505,-6.265340072873432,06/02/2013 19:23
Track 02,53.35356740151107,-6.2654167440130735,06/02/2013 22:30
Track 02,53.353898559312434,-6.265953828303414,06/02/2013 22:35
Track 02,53.354194245708435,-6.266978952127147,06/02/2013 22:40
Track 02,53.35465420421454,-6.2664891334300235,06/02/2013 22:45
Track 02,53.3553038553127,-6.26586132016574,06/02/2013 22:50
Track 02,53.35557012115422,-6.265706066432804,06/02/2013 22:55
Track 02,53.3560660678446,-6.265336203599811,06/02/2013 23:00
Track 02,53.35615384205276,-6.265239329517115,06/02/2013 23:06
Track 02,53.356632962962614,-6.264750519584164,06/02/2013 23:11
Track 02,53.35695844417647,-6.264527211061609,06/02/2013 23:16
Track 02,53.357241401136534,-6.2641457595490895,06/02/2013 23:21
Track 02,53.35752280102546,-6.2638309880769,06/02/2013 23:26
Track 02,53.35801820333094,-6.263150359623857,06/02/2013 23:31
Track 02,53.35850977118647,-6.262624384585688,06/02/2013 23:37
Track 02,53.35899820453787,-6.261928552838205,06/02/2013 23:42
Track 02,53.35848038850674,-6.260820303002484,06/02/2013 23:47
Track 02,53.35891688498065,-6.259613389541153,06/02/2013 23:52
Track 02,53.359204902611246,-6.258615872459629,06/02/2013 23:57
Track 02,53.36026446786163,-6.258110911309597,07/02/2013 00:02
Track 02,53.36023396944203,-6.258009096092685,07/02/2013 05:32
Track 02,53.35923149969385,-6.258651559292786,07/02/2013 05:35
Track 02,53.35898851411029,-6.257589429431504,07/02/2013 05:39
Track 02,53.35890406203373,-6.257281317691615,07/02/2013 05:42
Track 02,53.35883998042993,-6.25668370836385,07/02/2013 05:45
Track 02,53.358377643656155,-6.2545648696738185,07/02/2013 05:48
Track 02,53.35819145541148,-6.253434735771495,07/02/2013 05:51
Track 02,53.35801406119127,-6.2525143681439665,07/02/2013 05:54
Track 02,53.357949022142385,-6.252309181000328,07/02/2013 05:58
Track 02,53.35768281785542,-6.250951586971466,07/02/2013 06:01
Track 02,53.35761708076453,-6.250826460083846,07/02/2013 06:04
Track 02,53.35817068869453,-6.250628043262567,07/02/2013 06:07
Track 02,53.35796533644149,-6.249951583028429,07/02/2013 06:10
Track 02,53.357943295783514,-6.249813824844682,07/02/2013 06:13
Track 02,53.35773543829639,-6.249602427079092,07/02/2013 06:17
Track 02,53.357306268605114,-6.249095828544442,07/02/2013 06:20
Track 02,53.35767929464101,-6.248355825215327,07/02/2013 06:23
Track 02,53.35838511480319,-6.247109932114277,07/02/2013 06:26
Track 02,53.3588163442208,-6.246584852229324,07/02/2013 06:29
Track 02,53.358805733070845,-6.246543623368172,07/02/2013 06:32
Track 02,53.35907219193399,-6.246015358689068,07/02/2013 06:36
Track 02,53.35946568984039,-6.245448146997615,07/02/2013 06:39
Track 02,53.35964401464293,-6.245005944442249,07/02/2013 06:42
Track 02,53.359890895651546,-6.244803263395766,07/02/2013 06:45
