Track Number,Latitude,Longitude,Date and Time
Track 02,53.3412377629237,-6.2632093325817895,09/02/2013 00:00
Track 02,53.34116406133127,-6.263232813979661,09/02/2013 05:52
Track 02,53.34101339892666,-6.262334033677224,09/02/2013 06:00
Track 02,53.340730728496986,-6.26081149244664,09/02/2013 06:07
Track 02,53.34006173167036,-6.260734806535518,09/02/2013 06:15
Track 02,53.33950071122019,-6.258758197337652,09/02/2013 06:22
Track 02,53.33900619239815,-6.256444339582406,09/02/2013 06:30
Track 02,53.33866245763966,-6.255388039176119,09/02/2013 06:37
Track 02,53.33839955040246,-6.254620435211277,09/02/2013 06:45
Track 02,53.338190067642216,-6.253536696837267,09/02/2013 06:52
Track 02,53.33855092106506,-6.25319238136463,09/02/2013 07:00
Track 02,53.3389144048381,-6.2527741067597065,09/02/2013 07:07
Track 02,53.33944582660064,-6.25230802834255,09/02/2013 07:15
Track 02,53.33976234663054,-6.252051993395543,09/02/2013 07:22
Track 02,53.339860114754806,-6.252050621243415,09/02/2013 10:30
Track 02,53.33947532267211,-6.252280682966318,09/02/2013 10:32
Track 02,53.33891046147012,-6.252785421914042,09/02/2013 10:34
Track 02,53.33847664182938,-6.253202914080668,09/02/2013 10:36
Track 02,53.33815392327456,-6.25347309435847,09/02/2013 10:38
Track 02,53.338451208791135,-6.254634173043028,09/02/2013 10:40
Track 02,53.33864026931143,-6.255370762930287,09/02/2013 10:43
Track 02,53.338982804172545,-6.256439643097788,09/02/2013 10:45
Track 02,53.33949177070836,-6.258707838960177,09/02/2013 10:47
Track 02,53.34005349120803,-6.260658667175068,09/02/2013 10:49
Track 02,53.34049064645181,-6.263446635555528,09/02/2013 10:51
Track 02,53.34023642824365,-6.263679702716034,09/02/2013 10:54
Track 02,53.340580947103795,-6.264493544285505,09/02/2013 10:56
Track 02,53.340692637424695,-6.265596248877308,09/02/2013 10:58
Track 02,53.34070126235256,-6.266397104101613,09/02/2013 11:00
Track 02,53.34088175501731,-6.267122424873165,09/02/2013 11:02
Track 02,53.340738008784776,-6.268207285195902,09/02/2013 11:05
Track 02,53.34067621224018,-6.268389782559749,09/02/2013 11:07
Track 02,53.34172112110579,-6.269118884752333,09/02/2013 11:09
Track 02,53.34164273979035,-6.270067728381791,09/02/2013 11:11
Track 02,53.34188378490441,-6.27003327933648,09/02/2013 11:13
Track 02,53.34199240871763,-6.271483238275154,09/02/2013 11:16
Track 02,53.341993778601264,-6.272337509666681,09/02/2013 11:18
Track 02,53.342273686480404,-6.272269614462782,09/02/2013 11:20
Track 02,53.34258079225988,-6.273229666575532,09/02/2013 11:22
Track 02,53.34339279831399,-6.274542863707469,09/02/2013 11:24
Track 02,53.343805407596534,-6.275800098809515,09/02/2013 11:27
Track 02,53.34419079881265,-6.276319833131902,09/02/2013 11:29
Track 02,53.34417795212171,-6.277025824081705,09/02/2013 11:31
Track 02,53.344941264947984,-6.277207440534288,09/02/2013 11:33
Track 02,53.34548720751784,-6.276954482821641,09/02/2013 11:35
Track 02,53.345822340606915,-6.278724019834308,09/02/2013 11:38
Track 02,53.34613637766033,-6.280478102111888,09/02/2013 11:40
Track 02,53.34667754004906,-6.280286407653966,09/02/2013 11:42
Track 02,53.34715337856305,-6.280171671145415,09/02/2013 11:44
Track 02,53.3472659049464,-6.280097596344429,09/02/2013 11:46
Track 02,53.34770716998766,-6.279952325040971,09/02/2013 11:49
Track 02,53.34851154248716,-6.279768843691416,09/02/2013 11:51
Track 02,53.3498829119305,-6.279797023208803,09/02/2013 11:53
Track 02,53.35004714300782,-6.281724930662943,09/02/2013 11:55
Track 02,53.35041324477441,-6.281833225098231,09/02/2013 11:57
Track 02,53.350521287619806,-6.281789838928113,09/02/2013 12:00
Track 02,53.351012315654565,-6.282412100268635,09/02/2013 12:02
Track 02,53.35241282778294,-6.2839075631832175,09/02/2013 12:04
Track 02,53.35282458278824,-6.2845915738110145,09/02/2013 12:06
Track 02,53.353347449682,-6.285229620838868,09/02/2013 12:08
Track 02,53.354921774044335,-6.2871901872126905,09/02/2013 12:11
Track 02,53.355539823563426,-6.287683768680911,09/02/2013 12:13
Track 02,53.357271994549976,-6.28881674701797,09/02/2013 12:15
Track 02,53.3573789636654,-6.288345030462657,09/02/2013 12:17
Track 02,53.357637221449465,-6.28828079024477,09/02/2013 12:19
Track 02,53.3587037726758,-6.28765506336429,09/02/2013 12:22
Track 02,53.35862599368417,-6.287158555229043,09/02/2013 12:24
Track 02,53.35864508500537,-6.287066106463742,09/02/2013 13:56
Track 02,53.358703306028445,-6.2875867500826645,09/02/2013 13:58
Track 02,53.35763329652296,-6.288274515353397,09/02/2013 13:59
Track 02,53.35729773434649,-6.288275780162551,09/02/2013 14:01
Track 02,53.35718072393067,-6.2888181957397675,09/02/2013 14:03
Track 02,53.35557940522494,-6.287590792767955,09/02/2013 14:04
Track 02,53.35484889964275,-6.287152348064498,09/02/2013 14:06
Track 02,53.353369812492055,-6.285287008389086,09/02/2013 14:08
Track 02,53.35283777261994,-6.284571671225737,09/02/2013 14:09
Track 02,53.35238367106394,-6.283932782044116,09/02/2013 14:11
Track 02,53.35092424659536,-6.282421995412185,09/02/2013 14:13
Track 02,53.350428678871836,-6.2818325218772895,09/02/2013 14:15
Track 02,53.3503898800304,-6.281844308161996,09/02/2013 14:16
Track 02,53.3500449561098,-6.281722228241771,09/02/2013 14:18
