Track Number,Latitude,Longitude,Date and Time
Track 00,53.341712495289016,-6.287591682425566,09/02/2013 00:00
Track 00,53.34168483858822,-6.287643199265663,09/02/2013 05:34
Track 00,53.34156081667696,-6.28618008347178,09/02/2013 05:38
Track 00,53.341496368132766,-6.283942174141138,09/02/2013 05:42
Track 00,53.3414886375595,-6.283709925842102,09/02/2013 05:47
Track 00,53.341426043884816,-6.281867038491758,09/02/2013 05:51
Track 00,53.34144912875716,-6.281616184882375,09/02/2013 05:55
Track 00,53.34150385808289,-6.280828169315793,09/02/2013 05:59
Track 00,53.341706038474825,-6.278841656145305,09/02/2013 06:04
Track 00,53.341380830392005,-6.278667317309449,09/02/2013 06:08
Track 00,53.3414773017154,-6.277782621885671,09/02/2013 06:12
Track 00,53.341456919962766,-6.277511409008369,09/02/2013 06:17
Track 00,53.34155093073545,-6.277189272479649,09/02/2013 06:21
Track 00,53.34171164339274,-6.2751289444759175,09/02/2013 06:25
Track 00,53.3415934989754,-6.274955663100228,09/02/2013 06:29
Track 00,53.34097283123476,-6.274554576856635,09/02/2013 06:34
Track 00,53.340481613298195,-6.274111718914812,09/02/2013 06:38
Track 00,53.340587800306324,-6.2730151212942555,09/02/2013 06:42
Track 00,53.34067071391177,-6.272873290367133,09/02/2013 06:47
Track 00,53.34059392575342,-6.2722908596860005,09/02/2013 06:51
Track 00,53.340658238311434,-6.2717675169807405,09/02/2013 06:55
Track 00,53.34061245477463,-6.270544185399971,09/02/2013 06:59
Track 00,53.34061837162773,-6.270004784988095,09/02/2013 07:04
Track 00,53.34062334535402,-6.26921960416607,09/02/2013 07:08
Track 00,53.3407550930229,-6.268432664661168,09/02/2013 07:12
Track 00,53.34078113607867,-6.268149415353983,09/02/2013 07:17
Track 00,53.3409661221795,-6.2671400868415645,09/02/2013 07:21
Track 00,53.34079565127333,-6.266426480851455,09/02/2013 07:25
Track 00,53.34076374093966,-6.265573633953902,09/02/2013 07:29
Track 00,53.340557235556986,-6.264537086659138,09/02/2013 07:34
Track 00,53.340183705402445,-6.26363497635158,09/02/2013 07:38
Track 00,53.34054586463663,-6.2634256372074075,09/02/2013 07:42
Track 00,53.340009936156385,-6.26075688293168,09/02/2013 07:47
Track 00,53.33948070195451,-6.258783505173573,09/02/2013 07:51
Track 00,53.33891681500339,-6.256438734457042,09/02/2013 07:55
Track 00,53.33865478050054,-6.255396042959455,09/02/2013 07:59
Track 00,53.33845415048584,-6.254643564066799,09/02/2013 08:04
Track 00,53.33823880852739,-6.253470888417414,09/02/2013 08:08
Track 00,53.338486161658864,-6.253179927179497,09/02/2013 08:12
Track 00,53.33890670362969,-6.252739064949631,09/02/2013 08:17
Track 00,53.33943275303942,-6.252277307226657,09/02/2013 08:21
Track 00,53.339815080076264,-6.252062118324989,09/02/2013 08:25
Track 00,53.33975582861836,-6.251996962205594,09/02/2013 10:30
Track 00,53.34112590501826,-6.2507146743384485,09/02/2013 10:32
Track 00,53.34166125720644,-6.252112600974285,09/02/2013 10:35
Track 00,53.34182856179745,-6.252509835554242,09/02/2013 10:38
Track 00,53.34210642376301,-6.251525089768468,09/02/2013 10:40
Track 00,53.342158362849126,-6.251298960628042,09/02/2013 10:43
Track 00,53.341999030579174,-6.2505974259372765,09/02/2013 10:46
Track 00,53.343905165805104,-6.249445711457223,09/02/2013 10:48
Track 00,53.34416543615958,-6.249633966286329,09/02/2013 10:51
Track 00,53.344600269032426,-6.2515442177865825,09/02/2013 10:54
Track 00,53.34478211523348,-6.252290237590203,09/02/2013 10:56
Track 00,53.34516347579708,-6.2522334589807445,09/02/2013 10:59
Track 00,53.3457567632263,-6.252080407636744,09/02/2013 11:02
Track 00,53.34635014136588,-6.25198781054489,09/02/2013 11:04
Track 00,53.34661284749074,-6.251906042734431,09/02/2013 11:07
Track 00,53.34677689442962,-6.251939098504894,09/02/2013 11:10
Track 00,53.34743496209621,-6.251891466634976,09/02/2013 11:12
Track 00,53.34826579653074,-6.2515275152495535,09/02/2013 11:15
Track 00,53.34833925719378,-6.251482343473332,09/02/2013 11:18
Track 00,53.34912104744243,-6.251628577525202,09/02/2013 11:20
Track 00,53.34961825482136,-6.2513083340407,09/02/2013 11:23
Track 00,53.34977636608903,-6.251119158382114,09/02/2013 11:26
Track 00,53.3498443131449,-6.251011123573146,09/02/2013 11:29
Track 00,53.350279730658585,-6.250652856936086,09/02/2013 11:31
Track 00,53.35140628286531,-6.250107370472673,09/02/2013 11:34
Track 00,53.351862111440184,-6.24973793796289,09/02/2013 11:37
Track 00,53.3519325677029,-6.2496871652262875,09/02/2013 11:39
Track 00,53.35287153083979,-6.24872447370339,09/02/2013 11:42
Track 00,53.35325774598845,-6.248221043348526,09/02/2013 11:45
Track 00,53.35470890087621,-6.246654424596396,09/02/2013 11:47
Track 00,53.35492006202873,-6.2464477843314015,09/02/2013 11:50
